_RAJ2000,_DEJ2000,X,CRTS,RAJ2000,DEJ2000,Vmax,l_Vmin,Vmin,Ndet,Det,Ref,Simbad,recno
03 55 33.9200,+29 21 50.300,,J035533.9+292150,03 55 33.92,+29 21 50.3,21.1,,21.9,2,CSS090919:035534+292150,,Simbad,122
03 57 58.6700,+10 29 42.900,,J035758.7+102943,03 57 58.67,+10 29 42.9,16.9,,20.2,3,CSS091109:035759+102943,,Simbad,123
03 58 30.9100,+18 32 50.800,,J035830.9+183251,03 58 30.91,+18 32 50.8,19.1,,21.0,1,CSS111217:035831+183251,,Simbad,124
03 58 59.3100,-20 14 30.200,,J035859.3-201430,03 58 59.31,-20 14 30.2,18.0,,,2,CSS101201:035859-201430,,Simbad,125
04 01 17.4200,+28 39 42.300,,J040117.4+283942,04 01 17.42,+28 39 42.3,17.4,,,1,CSS090317:040117+283942,,Simbad,126
04 01 40.9300,+08 00 07.800,,J040140.9+080008,04 01 40.93,+08 00 07.8,15.4,,18.6,2,CSS081024:040141+080008,,Simbad,127
04 03 47.2600,+21 33 48.800,,J040347.3+213349,04 03 47.26,+21 33 48.8,17.2,,20.4,2,CSS100106:040347+213349,,Simbad,128
04 06 37.6100,-24 54 50.900,,J040637.6-245451,04 06 37.61,-24 54 50.9,18.9,,,1,SSS110904:040638-245451,,Simbad,129
04 06 59.8100,+00 52 43.900,,J040659.8+005244,04 06 59.81,+00 52 43.9,13.2,,17.9,2,VSX J040659.7+005244,,Simbad,130
04 07 42.0500,+23 05 56.200,,J040742.1+230556,04 07 42.05,+23 05 56.2,17.4,,18.4,1,MLS100905:040742+230556,,Simbad,131
04 08 21.8900,+14 15 15.700,,J040821.9+141516,04 08 21.89,+14 15 15.7,16.8,,20.8,1,CSS120113:040822+141516,III,Simbad,132
04 11 25.7500,-15 23 23.800,,J041125.8-152324,04 11 25.75,-15 23 23.8,15.6,,19.2,1,XZ Eri,,Simbad,133
04 11 33.6200,-09 07 29.400,,J041133.6-090729,04 11 33.62,-09 07 29.4,15.9,,19.2,2,CSS091215:041134-090729,,Simbad,134
04 11 38.5900,+23 22 20.200,,J041138.6+232220,04 11 38.59,+23 22 20.2,15.5,,18.2,4,CSS081118:041139+232220,,Simbad,135
04 13 49.9800,+09 45 15.300,,J041350.0+094515,04 13 49.98,+09 45 15.3,16.2,,,2,CSS110125:041350+094515,,Simbad,136
04 14 55.7100,+21 56 43.100,,J041455.7+215643,04 14 55.71,+21 56 43.1,16.7,,20.2,2,CSS071215:041456+215643,,Simbad,137
04 16 36.8700,+29 28 06.100,,J041636.9+292806,04 16 36.87,+29 28 06.1,15.7,,20.7,3,CSS100317:041637+292806,,Simbad,138
04 17 34.5800,-06 13 57.200,,J041734.6-061357,04 17 34.58,-06 13 57.2,18.7,,,2,CSS081202:041735-061357,,Simbad,139
04 21 42.1400,+34 03 28.500,,J042142.1+340328,04 21 42.14,+34 03 28.5,17.8,,,1,CSS090403:042142+340328,,Simbad,140
04 21 51.4000,+30 41 39.100,,J042151.4+304139,04 21 51.40,+30 41 39.1,17.1,,19.0,1,CSS111225:042151+304139,,Simbad,141
04 22 29.2800,+16 14 30.100,,J042229.3+161430,04 22 29.28,+16 14 30.1,16.1,,,2,CSS091024:042229+161430,III,Simbad,142
04 22 38.1000,-13 21 30.500,,J042238.1-132130,04 22 38.10,-13 21 30.5,14.2,,17.6,2,AH Eri,,Simbad,143
04 24 30.5900,+29 26 42.700,,J042430.6+292643,04 24 30.59,+29 26 42.7,17.0,,,3,CSS100317:042431+292643,,Simbad,144
04 30 19.9500,+09 53 17.800,,J043019.9+095318,04 30 19.95,+09 53 17.8,15.4,,18.9,3,CSS080929:043020+095318,,Simbad,145
04 31 12.4500,-03 14 51.600,,J043112.4-031452,04 31 12.45,-03 14 51.6,15.1,,19.3,1,CSS110113:043112-031452,,Simbad,146
04 35 17.7700,+00 29 40.900,,J043517.8+002941,04 35 17.77,+00 29 40.9,17.7,,,1,CSS090219:043518+002941,V,Simbad,147
04 35 46.8600,+09 08 36.800,,J043546.9+090837,04 35 46.86,+09 08 36.8,15.6,,,1,CSS091123:043547+090837,,Simbad,148
04 37 42.0800,+00 30 47.800,,J043742.1+003048,04 37 42.08,+00 30 47.8,17.2,,,1,CSS081203:043742+003048,,Simbad,149
04 38 29.1000,+00 40 15.900,,J043829.1+004016,04 38 29.10,+00 40 15.9,16.7,,19.2,1,CSS100218:043829+004016,,Simbad,150
04 40 27.1400,+02 33 01.000,X,J044027.1+023301,04 40 27.14,+02 33 01.0,16.2,,18.5,1,CSS090219:044027+023301,,Simbad,151
04 40 42.4900,+30 40 24.800,,J044042.5+304025,04 40 42.49,+30 40 24.8,16.1,,20.4,1,CSS111123:044042+304025,,Simbad,152
04 40 48.8100,+07 45 18.800,,J044048.8+074519,04 40 48.81,+07 45 18.8,17.0,,19.3,1,CSS111116:044049+074519,,Simbad,153
04 42 16.0300,-00 23 33.900,,J044216.0-002334,04 42 16.03,-00 23 33.9,16.7,,,4,CSS071115:044216-002334,,Simbad,154
04 43 40.4500,+19 14 19.900,,J044340.5+191420,04 43 40.45,+19 14 19.9,18.5,,,1,CSS090316:044340+191420,,Simbad,155
04 44 45.7000,+35 27 44.500,,J044445.7+352744,04 44 45.70,+35 27 44.5,16.2,,18.3,7,CSS090403:044446+352744,,Simbad,156
04 45 43.1600,+11 08 59.700,,J044543.2+110860,04 45 43.16,+11 08 59.7,17.5,,21.0,2,MLS110930:044543+110860,,Simbad,157
